Summit Throughtput on All Tests,Bandwidth (kB/s)
ext4_video,10167.32
ext4_video,10166.84
ext4_video,10166.76
ext4_video,10166.12
ext4_video,10165.74
ext4_video,10165.43
ext4_video,10165.4
ext4_video,10165.28
ext4_video,10165.21
ext4_video,10164.72
ext4_video,10163.09
ext4_video,10161.65
ext4_video,10161.43
ext4_video,10161.4
ext4_video,10160.34
ext4_video,10160.2
ext4_video,10159.12
ext4_video,10158.35
ext4_video,10158.16
ext4_video,10157.95
sealfs_video,10157.29
ext4_video,10156.08
ext4_video,10155.41
ext4_video,10154.05
ext4_video,10153.68
ext4_video,10153.37
ext4_video,10153.25
ext4_video,10153.25
ext4_video,10153.17
ext4_video,10152.48
ext4_video,10151.75
ext4_video,10151.05
ext4_video,10150.93
ext4_video,10150.1
ext4_video,10149.99
ext4_video,10149.52
ext4_video,10149.28
ext4_video,10148.69
sealfs_video,10148.47
ext4_video,10146.83
ext4_video,10146.55
ext4_video,10146.53
ext4_video,10146.29
ext4_video,10145.93
ext4_video,10145.46
ext4_video,10144.41
ext4_video,10143.43
ext4_video,10143.4
ext4_video,10143.25
ext4_video,10143.06
ext4_video,10142.07
ext4_video,10141.66
ext4_video,10141.31
ext4_video,10140.56
sealfs_video,10140.13
ext4_video,10138.83
ext4_video,10138.82
ext4_video,10138.77
ext4_video,10138.61
ext4_video,10138.45
ext4_video,10138.07
ext4_video,10137.88
ext4_video,10137.65
ext4_video,10137.63
sealfs_video,10137.34
ext4_video,10135.06
ext4_video,10134.79
ext4_video,10134.59
ext4_video,10133.07
ext4_video,10132.41
sealfs_video,10131.17
ext4_video,10130.47
ext4_video,10130.42
ext4_video,10129.67
sealfs_video,10129.25
sealfs_video,10129.25
ext4_video,10128.61
sealfs_video,10128.19
sealfs_video,10128.04
sealfs_video,10127.95
ext4_video,10127.87
sealfs_video,10126.6
sealfs_video,10126.59
sealfs_video,10125.62
sealfs_video,10125.36
ext4_video,10124.86
sealfs_video,10124.73
ext4_video,10124.63
ext4_video,10124.28
sealfs_video,10124.22
ext4_video,10124.13
sealfs_video,10123.97
ext4_video,10123.76
sealfs_video,10123.66
sealfs_video,10123.07
ext4_video,10122.71
ext4_video,10122.61
sealfs_video,10122.48
ext4_video,10122.25
sealfs_video,10122.23
ext4_video,10122.12
ext4_video,10122.07
sealfs_video,10121.05
sealfs_video,10120.58
ext4_video,10120.47
ext4_video,10120.27
sealfs_video,10119.69
ext4_video,10119.26
sealfs_video,10119.15
sealfs_video,10119.07
sealfs_video,10118.92
sealfs_video,10118.61
ext4_video,10117.99
ext4_video,10117.41
sealfs_video,10117.38
ext4_video,10117.02
sealfs_video,10116.97
sealfs_video,10116.96
sealfs_video,10116.42
ext4_video,10116.38
ext4_video,10115.71
sealfs_video,10115.67
sealfs_video,10115.61
sealfs_video,10115.36
sealfs_video,10115.11
sealfs_video,10114.95
sealfs_video,10114.75
ext4_video,10114.58
sealfs_video,10114.55
sealfs_video,10114.4
ext4_video,10114.19
sealfs_video,10113.72
ext4_video,10113.59
sealfs_video,10113.54
