Summit Bandwidth in Audio Test,bandwidth (kB/s)
sealfs,111.87
sealfs,123.58
sealfs,127.54
sealfs,119.49
sealfs,115.94
sealfs,119.77
sealfs,119.78
sealfs,123.71
sealfs,119.72
sealfs,115.8
sealfs,123.65
sealfs,115.91
sealfs,127.5
sealfs,119.86
sealfs,112.13
sealfs,123.26
sealfs,118.83
sealfs,126.53
sealfs,122.94
sealfs,114.95
sealfs,118.88
sealfs,114.95
sealfs,130.31
sealfs,122.68
sealfs,118.72
sealfs,117.45
sealfs,118.84
sealfs,126.45
sealfs,118.76
sealfs,115.92
sealfs,119.92
sealfs,123.81
sealfs,126.51
sealfs,115.17
sealfs,119.22
sealfs,119.28
sealfs,115.37
sealfs,130.8
sealfs,119.23
sealfs,111.54
sealfs,123.17
sealfs,119.17
sealfs,131.01
sealfs,111.74
sealfs,119.57
sealfs,123.12
sealfs,123.46
sealfs,115.95
sealfs,119.64
sealfs,119.33
sealfs,119.19
sealfs,123.02
sealfs,119.81
sealfs,123.63
sealfs,119.87
sealfs,112.12
sealfs,131.47
sealfs,119.8
sealfs,112.08
sealfs,123.7
sealfs,116.02
sealfs,123.74
sealfs,123.09
sealfs,115.32
sealfs,123.07
sealfs,119.23
sealfs,126.93
sealfs,115.34
sealfs,118.84
sealfs,119.22
sealfs,119.87
sealfs,130.95
sealfs,119.3
sealfs,119.29
sealfs,119.33
sealfs,123.65
sealfs,119.37
sealfs,119.38
sealfs,123.14
sealfs,112.2
sealfs,119.78
sealfs,131.49
sealfs,116
sealfs,115.92
sealfs,123.67
sealfs,115.71
sealfs,127.56
sealfs,115.97
sealfs,119.33
sealfs,123.12
sealfs,111.63
sealfs,127.56
sealfs,123.74
sealfs,119.46
sealfs,111.61
sealfs,123.71
sealfs,127.52
sealfs,119.18
sealfs,115.41
sealfs,119.74
sealfs,119.74
sealfs,127.45
sealfs,111.51
sealfs,123.17
sealfs,119.74
sealfs,123.58
sealfs,119.69
sealfs,119.79
sealfs,123.56
sealfs,111.97
sealfs,119.69
sealfs,131.36
sealfs,115.88
sealfs,115.83
sealfs,119.67
sealfs,119.79
sealfs,123.24
sealfs,119.33
sealfs,119.73
sealfs,123.59
sealfs,112.03
sealfs,131.49
sealfs,123.33
sealfs,119.76
sealfs,112.03
sealfs,131.27
sealfs,119.72
sealfs,115.87
sealfs,119.76
sealfs,115.94
sealfs,127.45
sealfs,119.76
sealfs,115.87
sealfs,123.67
sealfs,111.54
sealfs,127.08
sealfs,123.08
sealfs,119.24
sealfs,123.12
sealfs,111.53
sealfs,126.95
sealfs,119.71
sealfs,119.73
sealfs,115.99
sealfs,118.82
sealfs,134.75
sealfs,119.18
sealfs,123.38
sealfs,111.9
sealfs,123.68
sealfs,127.59
sealfs,112.04
sealfs,123.49
sealfs,115.63
sealfs,119.67
sealfs,127.47
sealfs,115.99
sealfs,119.69
sealfs,119.84
sealfs,115.85
sealfs,131.32
sealfs,119.7
sealfs,111.91
sealfs,123.65
sealfs,119.72
sealfs,126.88
sealfs,115.34
sealfs,119.32
sealfs,115.39
sealfs,123.73
sealfs,120.04
sealfs,123.73
sealfs,112.13
sealfs,119.94
sealfs,131.46
sealfs,112.11
sealfs,123.69
sealfs,119.87
sealfs,112.07
sealfs,131.48
sealfs,116.02
sealfs,115.97
sealfs,123.69
sealfs,116.06
sealfs,127.47
sealfs,116
sealfs,119.88
sealfs,123.71
sealfs,112.08
sealfs,127.55
sealfs,123.73
sealfs,112.13
sealfs,119.8
sealfs,123.76
sealfs,119.86
sealfs,119.83
sealfs,123.7
sealfs,119.89
sealfs,115.96
sealfs,127.72
sealfs,115.94
sealfs,119.82
sealfs,119.92
sealfs,115.97
sealfs,127.57
sealfs,115.97
sealfs,119.85
sealfs,123.65
sealfs,112.12
sealfs,131.6
sealfs,119.78
sealfs,112.1
sealfs,123.2
sealfs,119.83
sealfs,119.9
sealfs,123.76
sealfs,119.79
sealfs,115.99
sealfs,119.74
sealfs,135.23
sealfs,119.79
sealfs,116.05
sealfs,116.03
sealfs,123.5
sealfs,123.85
sealfs,115.63
sealfs,123.66
sealfs,119.82
sealfs,112.12
sealfs,131.43
sealfs,119.57
sealfs,115.92
sealfs,119.88
sealfs,127.24
sealfs,123.71
sealfs,112
sealfs,119.59
sealfs,119.73
sealfs,123.69
sealfs,119.75
sealfs,119.79
sealfs,116.03
sealfs,119.8
sealfs,127.61
sealfs,119.87
sealfs,115.86
sealfs,119.75
sealfs,119.43
sealfs,123.71
sealfs,119.78
sealfs,119.62
sealfs,123.67
sealfs,112.04
sealfs,131.4
sealfs,115.98
sealfs,115.98
sealfs,123.63
sealfs,116.04
sealfs,123.65
sealfs,119.69
sealfs,119.8
sealfs,119.83
sealfs,115.98
sealfs,127.48
sealfs,123.52
sealfs,112.07
sealfs,119.85
sealfs,123.71
sealfs,119.8
sealfs,119.78
sealfs,123.59
sealfs,119.71
sealfs,112.16
sealfs,131.39
sealfs,115.93
sealfs,119.72
sealfs,119.77
sealfs,115.97
sealfs,131.4
sealfs,112.09
sealfs,119.25
sealfs,123.76
sealfs,112.1
sealfs,127.06
sealfs,123.67
sealfs,119.76
sealfs,115.97
sealfs,119.73
sealfs,127.57
sealfs,115.99
sealfs,119.87
sealfs,115.93
sealfs,119.88
sealfs,127.6
sealfs,116.11
sealfs,123.73
sealfs,112.24
sealfs,123.64
sealfs,127.55
sealfs,112.03
sealfs,123.74
sealfs,119.88
sealfs,112.1
sealfs,131.4
sealfs,119.84
sealfs,112.09
sealfs,123.76
sealfs,119.87
sealfs,131.47
sealfs,112.11
sealfs,119.83
sealfs,119.98
sealfs,116.02
sealfs,127.69
sealfs,119.37
sealfs,115.89
sealfs,115.84
sealfs,123.81
sealfs,127.55
sealfs,115.94
sealfs,119.86
sealfs,119.81
sealfs,115.87
sealfs,127.52
sealfs,119.71
sealfs,115.98
sealfs,119.87
sealfs,127.51
sealfs,119.85
sealfs,116.01
sealfs,123.61
sealfs,115.88
sealfs,123.66
sealfs,119.79
sealfs,119.76
sealfs,115.98
sealfs,119.81
sealfs,127.62
sealfs,119.88
sealfs,115.16
sealfs,119.84
sealfs,123.71
sealfs,134.89
sealfs,112.04
sealfs,123.6
sealfs,119.85
sealfs,112.1
sealfs,131.43
sealfs,115.69
sealfs,119.99
sealfs,119.74
sealfs,131.63
sealfs,114.98
sealfs,117.98
sealfs,118.76
sealfs,115.1
sealfs,130.49
sealfs,118.78
sealfs,118.76
sealfs,118.81
sealfs,115.98
sealfs,127.54
sealfs,119.8
sealfs,119.29
sealfs,115.41
sealfs,119.03
sealfs,126.49
sealfs,122.75
sealfs,118.83
sealfs,114.98
sealfs,119.58
sealfs,127.16
sealfs,116.08
sealfs,119.82
sealfs,116
