Latency on Video Test,time (μs)
summit_sealfs_write,15498.74
summit_sealfs_write,15498.5
summit_sealfs_write,15497.69
summit_sealfs_write,15497.19
summit_sealfs_write,15496.61
summit_sealfs_write,15495.51
summit_sealfs_write,15494.85
summit_sealfs_write,15494.63
summit_sealfs_write,15494.61
summit_sealfs_write,15494.44
summit_sealfs_write,15494.34
summit_sealfs_write,15494.2
summit_sealfs_write,15494.03
summit_sealfs_write,15493.76
summit_sealfs_write,15493.4
summit_sealfs_write,15493.01
summit_sealfs_write,15492.57
summit_sealfs_write,15492.49
summit_sealfs_write,15492.25
summit_sealfs_write,15492.17
summit_sealfs_write,15491.25
summit_sealfs_write,15489.61
summit_sealfs_write,15489.6
summit_sealfs_write,15489.11
summit_sealfs_write,15488.77
summit_sealfs_write,15488.37
summit_sealfs_write,15488.24
summit_sealfs_write,15488.13
summit_sealfs_write,15487.92
summit_sealfs_write,15487.32
summit_sealfs_write,15486.99
summit_sealfs_write,15486.94
summit_sealfs_write,15486.26
summit_sealfs_write,15485.67
summit_sealfs_write,15485.41
summit_sealfs_write,15484.8
summit_sealfs_write,15484.51
summit_sealfs_write,15484.21
summit_sealfs_write,15484.16
summit_sealfs_write,15483.96
summit_sealfs_write,15483.81
summit_sealfs_write,15483.28
summit_sealfs_write,15481.74
summit_sealfs_write,15481.34
tiago_sealfs_write,15481.23
summit_sealfs_write,15481.08
summit_sealfs_write,15481.01
summit_sealfs_write,15480.82
summit_sealfs_write,15479.31
summit_sealfs_write,15479.29
summit_sealfs_write,15479.01
summit_sealfs_write,15478.34
summit_sealfs_write,15477.33
summit_sealfs_write,15477.24
summit_sealfs_write,15477.08
summit_sealfs_write,15476.57
summit_sealfs_write,15475.93
summit_sealfs_write,15474.83
summit_sealfs_write,15474.02
summit_sealfs_write,15473.97
summit_sealfs_write,15473.57
