TiAGo Throughtput on Audio Test,Bandwidth (kB/s)
sealfs,127.27
ext4,127.24
ext4,127.24
sealfs,127.24
sealfs,127.23
ext4,127.22
ext4,127.22
ext4,127.22
sealfs,127.22
sealfs,127.19
ext4,127.18
ext4,127.16
sealfs,127.13
sealfs,127.12
ext4,127.11
ext4,127.11
ext4,127.1
ext4,127.1
ext4,127.1
ext4,127.09
ext4,127.09
sealfs,127.09
ext4,127.08
sealfs,127.08
sealfs,127.07
sealfs,127.07
sealfs,127.06
sealfs,127.05
sealfs,127.02
ext4,127.01
ext4,126.99
ext4,126.98
sealfs,126.97
sealfs,126.97
sealfs,126.95
sealfs,126.94
ext4,126.93
ext4,126.93
sealfs,126.93
ext4,126.92
sealfs,126.92
ext4,126.91
sealfs,126.87
sealfs,126.85
